title,content,date,source,sentiment,event,credibility_score
Kent RO delays IPO as Iran-US war dents sentiment,"Kent RO Systems has shelved plans to go public, its chairman ​told Reuters, as the Indian water-purifier maker becomes the latest ‌company to delay its stock market debut with the ​Middle East conflict unsettling global markets and ⁠weakening sentiment.",2026-05-26T05:48:01Z,Yahoo Finance,-0.7096,General,0.85
Water purifier maker Kent RO delays IPO as Mideast war dents sentiment,"Kent RO Systems has postponed its stock market debut. The Indian water purifier maker cites global market volatility, worsened by the Iran conflict, as the reason. Rising costs for raw materials also impact operations. The company will reassess its IPO plans …",2026-05-26T05:45:13Z,Yahoo Finance,-0.7184,General,0.85
Indian water-purifier maker Kent RO delays IPO as Mideast war dents sentiment,"CHENNAI, May 26 : Kent RO Systems has shelved plans to go public, its chairman told Reuters, as the Indian water-purifier maker becomes the latest company to delay its stock market debut with the Middle East conflict unsettling global markets and weakening se…",2026-05-26T05:40:43Z,Yahoo Finance,-0.7096,General,0.85
ONWARD Medical Reports First Quarter 2026 Results with Strong Commercial Momentum and Key Clinical Milestones,"EINDHOVEN, the Netherlands, May 26, 2026 (GLOBE NEWSWIRE) -- ONWARD Medical N.V. (Euronext: ONWD – US ADR: ONWRY), the leading neurotechnology company pioneering therapies to restore movement, function, and independence in people with spinal cord injuries (SC…",2026-05-26T05:30:00Z,Yahoo Finance,0.296,General,0.85
New Novartis data at ERA 2026 advance scientific understanding of kidney disease and reinforce portfolio strength,"Basel, May 26, 2026 – Novartis will present data from 15 abstracts from its kidney portfolio at this year’s European Renal Association (ERA) Congress in Glasgow, June 3-6. The presentations reinforce our ambition to advance scientific understanding across pro…",2026-05-26T05:15:00Z,Yahoo Finance,0.0,General,0.85
Start of Day Message,"LONDON, 26 May. 2026 (GLOBE NEWSWIRE) -- This is the Start of Day Message for GlobeNewswire.     GlobeNewswire is operated by Notified and is designated by...",2026-05-26T05:00:00Z,Yahoo Finance,0.0,General,0.85
The shocking death toll of cars in poor countries,"The story of global health over the last few centuries has generally been one of great progress — vastly longer lifespans, far fewer women dying in childbirth, many fewer children dying from miserable diseases like measles and smallpox. But there is one often…",2026-05-26T04:59:26Z,Yahoo Finance,0.4767,General,0.85
Notes on Pope Leo XIV's Encyclical on AI,Dropped this morning by the Vatican: Magnifica Humanitas of His Holiness Pope Leo XIV on Safeguarding the Human Person in the Time of Artificial Intelligence. This is a very interesting …,2026-05-26T04:45:29Z,Yahoo Finance,0.8016,General,0.85
Pope Leo XIV Makes Historic Apology For Vatican's Role In Legitimizing Slavery,History’s first U.S.-born pope called the Vatican’s record a “wound in Christian memory.”,2026-05-26T04:42:11Z,Yahoo Finance,0.0,General,0.85
High Arctic Overseas Announces Intention to Recommence Drilling Activity in Papua New Guinea,"NOT FOR DISTRIBUTION TO U.S. NEWSWIRE SERVICES OR FOR DISSEMINATION IN THE UNITED STATES. ANY FAILURE TO COMPLY WITH THIS RESTRICTION MAY CONSTITUTE A VIOLATION OF U.S. SECURITIES LAW CALGARY, Alberta, May 25, 2026 (GLOBE NEWSWIRE) — High Arctic Overseas Hold…",2026-05-26T04:36:31Z,Yahoo Finance,-0.596,General,0.85
Global Market: Chinese AI and chip stocks rally after Huawei signals major tech leap,"Chinese semiconductor stocks surged in Hong Kong following Huawei's announcement of a potential 1.4nm chip breakthrough using ""LogicFolding"" technology by 2031. This development aims to narrow the gap with global leaders and bolster China's AI ambitions amid …",2026-05-26T04:25:49Z,Yahoo Finance,0.0,General,0.85
Sports Ministry notifies rules for a Sports Board and a Sports Tribunal,"The Sports Ministry announces operational rules for the National Sports Tribunal and Board, including a dedicated legal portal for disputes.",2026-05-26T04:09:10Z,Yahoo Finance,0.34,General,0.85
French Luxury by the Numbers,"Explore French luxury's legacy, key milestones, and market stats, from Hermès to LVMH, with insights from Comité Colbert and industry leaders.",2026-05-26T04:05:00Z,Yahoo Finance,0.0,General,0.85
Ad Tech Briefing: Agencies reposition for the agentic era,"Agencies are tightening control over data, supply paths and AI governance as the rise of agentic advertising reshapes the economics",2026-05-26T04:01:00Z,Yahoo Finance,0.0,General,0.85
"Outcomes of Hospitalized and Critically Ill Adults with Murine Typhus, Galveston, Texas, USA, 2019–2023","Critically Ill Adults with Murine Typhus, Texas",2026-05-26T04:00:00Z,Yahoo Finance,-0.4215,General,0.85
"Meta Layoffs 2026: Mark Zuckerberg May Have Given The Best Severance Package For The 8,000 Employees Fired Recently","Meta is laying off 8,000 employees globally as it restructures to focus on AI. The company offers generous severance packages amid concerns over AI reliance.",2026-05-26T03:33:19Z,Yahoo Finance,0.5106,General,0.85
"Govt notifies sports board, tribunal rules to overhaul governance and speed up disputes",India's sports governance is set for a major overhaul. The Union government has notified new rules for a National Sports Board and a National Sports Tribunal. These bodies will regulate sports organizations and resolve disputes. This move aims to improve tran…,2026-05-26T03:20:47Z,Yahoo Finance,0.5267,General,0.85
"Pune Water Purifier Rentals Rise in 2026 as ₹18,000 Buy Cost and ₹3,500 AMC Push IT-Corridor Tenants Toward ₹500/Month Plans Like Rentomojo","Even after recovering ₹5,000–₹6,000 in resale value, owning an RO+UV water purifier in Pune costs close to ₹15,000 over one year, while a ₹500/month rental totals roughly ₹6,000 with installation, AMC, and filter replacement included — making rental the lower…",2026-05-26T03:15:00Z,Yahoo Finance,0.0516,General,0.85
"ELWT Investor News: If You Have Suffered Losses in Elauwit Connection, Inc. (NASDAQ: ELWT), You Are Encouraged to Contact The Rosen Law Firm About Your Rights","NEW YORK, May 25, 2026 (GLOBE NEWSWIRE) -- Why: Rosen Law Firm, a global investor rights law firm, continues to investigate potential securities claims on behalf of shareholders of Elauwit Connection, Inc. (NASDAQ: ELWT) resulting from allegations that Elauwi…",2026-05-26T03:01:00Z,Yahoo Finance,0.296,General,0.85
"Capital markets must fund creative sector, says Kwairanga","NGX Group Chairman Umaru Kwairanga urges African capital markets to invest in the fast-growing creative sector, moving beyond traditional industries.

Read More: https://punchng.com/capital-markets-must-fund-creative-sector-says-kwairanga/",2026-05-26T02:55:24Z,Yahoo Finance,0.4404,General,0.85
US consumer discretionary index hits 20-year low relative to S&P 500 as market rally leaves sector behind,"The shift towards AI investments highlights market fragility, as reliance on tech growth could exacerbate volatility if consumer sectors falter.
The post US consumer discretionary index hits 20-year low relative to S&P 500 as market rally leaves sector behind…",2026-05-26T02:52:08Z,Yahoo Finance,0.128,General,0.85
